"File creation date","Household sequence number","Record type and seq indicator","State","Public Use Microdata Area","Person weight","Person's age","Person's sex","Person's marital status","Person's educational attainment","Person's race","Person is of Hispanic origin","Official poverty status","Person's medical out of pocket expenses, other than premiums (imputed)","Person's Medicare part B premium","Tax units created for TAXSIM","Adjusted gross income","SPM unit's ID","SPM unit's number of persons","SPM unit's number of adults","SPM unit's number of chidren","SPM unit's has cohabiting couple","SPM unit has a UI under 15 years old","SPM unit's equivalence scale","SPM unit's tenure/mortgage status","SPM unit's geographic adjustment","SPM poverty status","SPM unit's threshold","Total SPM resources for SPM unit","SPM unit's cash income","SPM unit's SNAP subsidy","SPM unit's capped housing subsidy","SPM unit's school lunch","SPM unit's energy subsidy","SPM unit's WIC value","SPM unit's federal tax","SPM unit's federal tax before refundable tax credits","SPM unit's federal EITC","SPM unit's FICA and federal retirement","SPM unit's state tax","SPM unit's capped work and child care expenses","SPM unit's work expenses - not capped","SPM unit's child care expenses - not capped","SPM unit's Medical Out-Of-Pocket and Medicare B subsidy","SPM unit's Health insurance premiums (imputed)",""
"20211015","9056","3","39","3901100","81","22","2","5","0","1","0","0","1272.6473769605193","0","90560000013","11000","9056001","3","3","0","0","0","1","1","0.9071859999999983","0","26520.67552399995","137161.43139605282","194000","0","0","0","0","0","26609","26609","0","14842","6209.3599","4845.901","4845.901","0","4332.307703947182","1782.0492727220976","356.68421052631584"
"20211015","9057","1","48","4804607","40","77","2","2","2","2","0","1","4194.645754461872","0","90570000000","0","9057001","4","4","0","0","0","1.2230863395232021","1","1.0204589999999998","1","36487.23203969048","8526.041226147547","15700","0","0","0","0","0","0","0","0","0","0","0","0","0","7173.958773852453","2242.3130193905818","1460.1108033240996"
"20211015","9057","2","48","4804607","59","61","2","5","2","2","0","1","400","0","90570000000","0","9057001","4","4","0","0","0","1.2230863395232021","1","1.0204589999999998","1","36487.23203969048","8526.041226147547","15700","0","0","0","0","0","0","0","0","0","0","0","0","0","7173.958773852453","2242.3130193905818","782.2022160664819"
"20211015","9057","3","48","4804607","92","31","1","1","1","2","0","1","12","0","90570000013","0","9057001","4","4","0","0","0","1.2230863395232021","1","1.0204589999999998","1","36487.23203969048","8526.041226147547","15700","0","0","0","0","0","0","0","0","0","0","0","0","0","7173.958773852453","2242.3130193905818","0"
"20211015","9057","4","48","4804607","57","61","1","1","1","2","0","1","325","0","90570000014","0","9057001","4","4","0","0","0","1.2230863395232021","1","1.0204589999999998","1","36487.23203969048","8526.041226147547","15700","0","0","0","0","0","0","0","0","0","0","0","0","0","7173.958773852453","2242.3130193905818","0"
"20211015","9058","1","6","608106","57","49","2","1","4","1","0","0","1018.1179015684154","0","90580000000","671000","9058001","5","2","3","0","0","1.1139424459794183","3","1.4318679999999988","0","46065.730518423516","400983.95714529377","671000","0","0","301.257","0","0","177382","177382","0","27509","56678.73","4130.932","4130.932","0","4616.63785470622","2325.8725761772853","480"
"20211015","9058","2","6","608106","69","50","1","1","4","1","0","0","1018.1179015684154","0","90580000768","0","9058001","5","2","3","0","0","1.1139424459794183","3","1.4318679999999988","0","46065.730518423516","400983.95714529377","671000","0","0","301.257","0","0","177382","177382","0","27509","56678.73","4130.932","4130.932","0","4616.63785470622","2325.8725761772853","4171.745152354571"
"20211015","9058","3","6","608106","84","16","2","5","0","1","0","0","254.52947539210402","0","90580000000","671000","9058001","5","2","3","0","0","1.1139424459794183","3","1.4318679999999988","0","46065.730518423516","400983.95714529377","671000","0","0","301.257","0","0","177382","177382","0","27509","56678.73","4130.932","4130.932","0","4616.63785470622","2325.8725761772853","0"
"20211015","9058","4","6","608106","62","14","2","5","0","1","0","0","0","0","90580000000","671000","9058001","5","2","3","0","0","1.1139424459794183","3","1.4318679999999988","0","46065.730518423516","400983.95714529377","671000","0","0","301.257","0","0","177382","177382","0","27509","56678.73","4130.932","4130.932","0","4616.63785470622","2325.8725761772853","0"
"20211015","9058","5","6","608106","59","12","1","5","0","1","0","0","0","0","90580000000","671000","9058001","5","2","3","0","0","1.1139424459794183","3","1.4318679999999988","0","46065.730518423516","400983.95714529377","671000","0","0","301.257","0","0","177382","177382","0","27509","56678.73","4130.932","4130.932","0","4616.63785470622","2325.8725761772853","0"
